char|line
ross|said you ’ d marry joey
rachel|okay realize exhausted emotional would said yes anybody
rachel|like time got married
rachel|i ’ m helping
ross|said yes baby
rachel|right traditionally daddy supposed give mummy present prepared let go
ross|came see wanted maybe start thing engaged best friend
rachel|well really
rachel|thought chandler best friend
ross|well chandler ’ s oldest friend joey ’ s
ross|ah
rachel|ooooo
joey|hey guy i ’ m gon na take
joey|wanted let guy know say goodbye
ross|rachel said she ’ d marry
joey|isn ’ t right room sorry folk
monica|ok don ’ t wan na negative i ’ ll say sign bought good
phoebe|ran it ’ s girl fix one see
monica|sexy
monica|honey
chandler|yea yea
monica|honey don ’ t go lie
chandler|ross rachel back soon got ta go office producing
joey|why ’ re tired
chandler|couldn ’ t sleep last night know started worrying big divisional meeting later today worried couldn ’ t sleep
chandler|y ’ know
chandler|like fall asleep i ’ ll get six hour sleep fall asleep i ’ ll get five hour sleep
chandler|matter couldn ’ t fall asleep
joey|know should ’ ve done told little story
rachel|hi
other|hi welcome home
monica|phoebe sign
rachel|oh guy thanks
phoebe|look stuff people sent
rachel|oh ah
rachel|oh gosh there ’ s something every mother need giant stuffed gorilla take entire apartment
rachel|people think oh guy love
joey|hey where ’ s ross
rachel|he ’ s downstairs getting rest stuff cab
joey|still mad u
rachel|well can ’ t stay mad
rachel|mean baby
joey|that ’ s fair
joey|can ’ t
rachel|yeah i ’ m sure come
joey|see afraid didn ’ t think either somebody said he ’ d
chandler|hey know
chandler|wanted get bigger gorilla
other|number seeing new york chicago london consistently solid many officer reported disappointing field
other|boston atlanta houston could go instead boring i ’ ll go straight forty two point plan
chandler|walter
phoebe|she ’ s cute
phoebe|wan na bite ear use sucking candy
monica|phoebe
monica|could take one little foot put pita pocket
ross|okay put stuff away
rachel|oh great pacifier
ross|closet
rachel|burping clog
ross|linen closet
rachel|diaper
ross|hospital
phoebe|wow guy got hospital
phoebe|fancy
ross|left diaper hospital
ross|there ’ s bag i ’ ll run get
rachel|alright thanks oh ross could stop coffee house get muffin
ross|sure kind
rachel|umm let think
rachel|want w n
ross|please take time it ’ s important decision
ross|like say know
ross|deciding marry someone muffin
rachel|blueberry
ross|blueberry
rachel|thanks
monica|wow he ’ s really letting go
rachel|god long think that ’ s gon na last
phoebe|dunno well got break thing really quickly
rachel|y ’ know can ’ t even worry right cause got cutie little baby oh can ’ t believe much love can ’ t get enough like right miss
rachel|actually miss
phoebe|know that ’ s that ’ s
rachel|oh god look sleeping
rachel|oh love much
rachel|oh think i ’ m gon na wake
phoebe|oh rach know you ’ re never supposed wake sleeping baby
rachel|well whatever want
rachel|made
rachel|come little girl hi
phoebe|say told she ’ s kinda
rachel|oh i ’ m sorry mummy ’ s sorry go back sleep go back sleep
rachel|shh
rachel|shhh
rachel|go back sleep
monica|break heart doesn ’ t
phoebe|really long think stay
other|ok everyone ’ s board it ’ s settled chandler chandler
chandler|yep
other|board
chandler|yes
other|problem solved
other|chandler running office tulsa
other|you ’ re gon na love oklahoma
phoebe|well alright already tried feeding changing burping oh try one
phoebe|go back time listen phoebe
monica|alright here ’ s something say try holding baby close body swing rapidly side side
rachel|ok
monica|worked
rachel|oh oh stopped throw little bit
rachel|oh come gon na hour won ’ t stop cry
monica|umm rach
rachel|yeah i ’ m sure
monica|oh god losing mind
phoebe|yeah kidding prof good come sex ross
ross|hey gunther get couple blueberry muffin go
other|diaper huh
ross|yep
other|guess rachel baby
ross|yep believe
other|nope
other|still can ’ t believe slept first place
ross|huh
ross|ooh mean like huh
joey|hey
joey|ross know you ’ re pissed talk
ross|ah actually don ’ t
joey|fine fine okay
joey|got ta say technically didn ’ t even anything wrong
ross|didn ’ t anything wrong
joey|said didn ’ t technically
ross|okay let ’ s put aside accidentally picked grandmother ring accidentally proposed rachel
joey|look stop right second
joey|people don ’ t really know mean
joey|saying
ross|even understand couldn ’ t tell rachel couldn ’ t tell huh
ross|day didn ’ t
joey|know should ’ ve
joey|i ’ m sorry
ross|using right joe
ross|i ’ m gon na go
joey|come ross
joey|look ross get past
ross|give bag
joey|look don ’ t know else
joey|said i ’ m sorry
ross|joey
joey|scream curse hit
ross|i ’ m gon na hit
joey|you ’ ll feel better
joey|i ’ ll feel better know want
joey|see eye
ross|don ’ t
joey|little bit
joey|little bit
joey|little bit
ross|give bag
joey|hit
ross|give bag
joey|hit
ross|joey give bag
joey|hit
ross|joe i ’ m kidding
joey|hit hit
joey|hit
joey|hit
ross|ducked
joey|i ’ m sorry
joey|reflex
ross|oh god really hurt
joey|couldn ’ t help
joey|fist come face duck
joey|look
ross|matter
joey|supposed duck
joey|didn ’ t duck
ross|don ’ t talk way hospital
joey|good good yeah maybe we ’ re check reflex
joey|oops
monica|try feeding
rachel|already fed
monica|know that ’ s said
phoebe|alright guy can ’ t turn okay
phoebe|that ’ s want
chandler|hey
monica|hey
chandler|monica talk outside minute
rachel|oh guy stay i ’ m gon na go check diaper pheebs wan na come
phoebe|oh i ’ m kinda part
chandler|actually pheebs husband wife kinda thing
phoebe|knew married chandler
monica|okay what ’ s
chandler|umm know always said would fun move paris year
chandler|know could study french cooking could write could take picnic along seine go wine tasting bordeaux
monica|oh yeah
chandler|okay know people say tulsa paris oklahoma
monica|say
chandler|people who ’ ve never ever paris
monica|what ’ s going
chandler|we ’ re moving tulsa
monica|excuse
chandler|okay m
chandler|mckenna kind work bos asked move tulsa president office sleeping apparently said yes
monica|tulsa oklahoma
chandler|sooner state whatever
monica|chandler don ’ t even wan na see musical oklahoma
chandler|really
chandler|oh beautiful morning
chandler|surrey fringe top
monica|trying tell we ’ re moving oklahoma you ’ re gay
monica|right matter least offer huge raise
chandler|going lease u ford focus
chandler|i ’ ll get
monica|thank
chandler|wrong emma
monica|oh misunderstood thought moving tulsa
chandler|umm ma ’ am minute
chandler|kind bad news
chandler|don ’ t think move tulsa
chandler|it ’ s funny story actually
chandler|kind fell asleep meeting morning said i ’ d move tulsa didn ’ t really know saying
other|fell asleep
chandler|night worried meeting ain ’ t funny
chandler|irony
chandler|fan alright
chandler|see here ’ s thing
chandler|went home told wife tulsa won ’ t go
chandler|see love tulsa
chandler|tulsa heaven
chandler|tulsa italy please don ’ t make go
other|chandler
chandler|look carol call carol
chandler|wh would name elaine
chandler|oh great picture son strapping
chandler|that ’ s picture daughter isn ’ t well she ’ s lovely
chandler|like girl strong jaw
chandler|i ’ ll call tulsa
joey|hey
ross|broke thumb
joey|thumb
joey|that ’ s weird
joey|sure you ’ re punching right
joey|make fist
joey|maybe later
joey|ross feel terrible
ross|know go fill form
joey|want help
ross|look like i ’ m trouble misshapen claw
joey|name
joey|know ross what ’ s short
joey|know like like rossel rosstepher
ross|ross
joey|it ’ s pretty okay date birth
ross|know birthday
joey|sure may
joey|tember
ross|october 18th
joey|occupation
joey|dinosaur
ross|actually i ’ m palian dinosaur fine drawing
joey|alright want emergency contact
ross|ah rachel guess
joey|okay relationship boy could take
ross|ah put roommate
joey|come guy
joey|mean you ’ re gon na get together right
ross|don ’ t think
joey|two supposed together
ross|well thought said she ’ d marry
joey|come ross didn ’ t mean anything
joey|baby freaked alone would said yes anybody
ross|yeah that ’ s said
ross|don ’ t wan na anybody
joey|wow
ross|know it ’ s it ’ s better way anyway
ross|mean don ’ t know thinking going road u
ross|it ’ s much easier we ’ re friend kid
joey|really
ross|yeah
joey|you ’ re okay
ross|yes
ross|mean it ’ s always planned
ross|plan stick
ross|that ’ s call plan
ross|hello
ross|i ’ m fine
joey|hey it ’ s worth rachel don ’ t think you ’ ll ever anybody
ross|hey go
joey|thanks
rachel|oh god
rachel|long cry
monica|week half
phoebe|well alright look like guy got control i ’ m gon na go
phoebe|really
phoebe|misery really love company
phoebe|right
monica|rach try holding different way
rachel|guy i ’ m best anyone else welcome try
phoebe|alright i ’ ll try fine
phoebe|yes okay
rachel|go
phoebe|shh
phoebe|nothing work child
rachel|oh god gon na guy can ’ t even comfort baby
rachel|i ’ m worst mother ever
monica|you ’ re new it ’ ll get better think first day work
monica|mean couldn ’ t easy figured
rachel|yeah don ’ t think dressing provocatively going help
rachel|oh god please take
monica|okay i ’ ll take
rachel|go bathroom
phoebe|go scream pillow
monica|bouncy baby bouncy baby ooh baby baby ooh baby baby ooh baby baby
phoebe|gone deaf
monica|worked
monica|ooh baby baby baby ooh baby baby baby
phoebe|must fireball bed
monica|can ’ t believe
monica|she ’ s asleep
monica|got go sleep
monica|actual magical power
phoebe|hear traffic bird
phoebe|hear voice head
phoebe|i ’ m kidding
rachel|oh god
rachel|got stop cry
monica|yes i ’ m monica super aunt
rachel|official baby crier stopper
monica|yes
rachel|you ’ re never leaving apartment
monica|say
rachel|that ’ s new job day night start cry need
monica|oh
phoebe|thankfully don ’ t need okay super aunt see later
phoebe|rachel let ’ s give six eight month
rachel|okay listen i ’ m gon na go lay
rachel|know book say whenever she ’ s sleeping sleeping
chandler|hey
monica|shhh
monica|got go sleep
chandler|oh can ’ t yelling
chandler|we ’ re moving tulsa
chandler|shhhh
chandler|shhhhh
chandler|shhhhh
chandler|shhhhh
chandler|can ’ t can ’ t hear
ross|hey
rachel|heeeeey
rachel|happened
ross|ah little thing joey think bad see
rachel|oh ross
rachel|good talk joey thing
rachel|please sit
rachel|got get joey thing okay
rachel|never really wanted marry joey okay
ross|okay
rachel|know really really want
ross|rach
rachel|wan na sleep wan na eat wan na take shower mean wake got ta
ross|right
rachel|mean got news mister emma
rachel|easy
ross|well that ’ s i ’ m
ross|want get
rachel|really okay monica
monica|got
monica|got
monica|got
monica|got
monica|got
monica|got
joey|know ah i ’ ve thinking got ta tell ya it ’ s fault
joey|it ’ s natural instinct
chandler|hey guy talking
joey|hey ok great would
